Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;64.5664;62.7164;59.407
10500;64.5595;62.9953;60.0128
11025;64.959;63.4356;60.2345
11576;63.3688;63.3883;60.3385
12154;66.2032;64.1425;61.2017
12760;64.4488;63.9312;61.3915
13396;64.5962;63.6611;60.7155
14063;64.527;63.8648;61.1988
14763;64.5348;64.1975;61.1172
15498;64.4178;64.2504;61.2846
16269;65.5252;64.5895;61.5941
17078;65.5772;64.895;62.1032
17927;65.7354;64.7128;62.0479
18818;65.174;65.1204;62.4509
19753;64.7414;64.9842;61.816
20734;63.6902;65.0567;62.0269
21764;64.0769;65.2433;62.1894
22845;64.9593;65.3197;62.4747
23980;64.475;65.6017;62.6773
25171;64.9887;65.6317;63.1014
26421;65.2885;65.8958;63.5252
27733;65.9406;65.9063;63.468
29110;65.4956;66.0071;63.1649
30555;66.0528;66.1775;64.0103
32072;66.3279;66.4004;64.1561
33664;65.5904;66.5952;64.1645
35335;65.6583;66.6439;64.0539
37089;65.7889;67.1259;64.4577
38930;66.3346;67.5398;64.5141
40863;66.113;67.5576;65.1758
42892;66.4056;67.524;64.737
45022;66.6194;67.5006;65.2437
47258;67.7503;67.678;65.8039
49605;67.2084;67.7058;66.4286
52069;68.2276;68.254;67.0357
54656;68.8685;68.5928;67.9472
57372;69.5324;69.4001;69.0157
60223;70.8131;70.4499;70.0946
63216;71.9845;70.9247;71.3164
66358;74.1725;71.6474;72.6368
69657;76.7412;72.4496;73.6302
73120;76.4844;72.3766;74.5258
76756;79.2769;74.6236;77.1905
80573;81.6368;75.8165;79.9737
84580;84.1163;76.5475;82.6221
88787;87.7334;79.2234;86.3067
93204;91.8537;80.542;89.1415
97841;95.3863;82.7559;92.9932
102709;98.1512;85.9359;103.393
107820;102.395;89.9465;108.013
113186;107.277;93.7423;114.156
118820;111.253;99.7438;119.516
124735;116.485;102.357;124.824
130945;121.281;107.564;132.644
137465;126.379;115.579;136.612
144311;133.126;119.536;143.249
151499;137.121;127.484;148.22
159046;142.864;133.609;154.335
166970;145.847;139.033;159.982
175290;150.765;145.096;163.896
184026;156.2;150.53;169.788
193198;160.943;158.06;173.769
202828;163.469;166.973;182.918
212939;166.138;172.562;187.162
223555;171.114;180.104;191.74
234701;174.868;185.44;195.634
246404;178.031;190.479;198.18
258692;180.802;196.181;202.302
271594;184.419;199.96;205.768
285141;189.419;204.69;208.029
299365;190.966;208.671;211.747
314300;195.162;213.539;214.715
329981;197.865;217.041;218.337
346446;199.425;221.866;221.521
363734;202.99;224.934;224.218
381886;205.415;228.531;226.494
400945;207.131;232.759;232.365
420956;209.976;236.115;235.593
441967;213.145;239.042;237.924
464028;214.96;242.002;240.542
487192;217.077;245.395;243.709
511514;220.206;247.974;245.603
537052;222;250.955;247.167
563866;224.191;253.586;249.891
592020;228.428;255.677;254.673
621581;230.586;258.813;255.524
652620;231.413;261.088;256.697
685210;233.169;263.223;259.593
719429;234.942;266.262;261.217
755358;238.216;268.272;263.537
793083;239.716;271.14;266.985
832694;241.468;273.201;268.576
874285;244.419;275.007;270.519
917955;246.924;277.074;274.282
963808;248.204;279.267;276.581
1011953;250.482;281.691;277.394
1062505;253.756;283.54;280.569
1115584;254.301;285.779;283.235
1171316;256.912;287.208;284.829
1229834;260.448;289.695;287.327
1291277;260.063;292.288;289.906
1355792;263.736;295.097;291.114
1423532;265.421;297.647;293.588
1494659;268.074;300.051;294.505
1569342;269.521;302.204;297.397
1647759;272.418;303.283;300.904
1730096;276.075;306.751;303.127
1816549;277.785;309.923;306.236
1907324;280.805;314.872;308.397
2002637;284.69;317.834;310.29
2102715;289.973;322.358;314.787
2207796;291.37;326.698;318.26
2318131;295.818;331.834;321.145
2433982;301.705;335.945;326.638
2555625;307.088;341.998;331.121
2683350;312.989;346.731;335.426
2817461;318.988;354.625;341.518
2958277;324.48;360.674;346.466
Scattered erasure, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;65.0245;64.0808;61.3807
10500;63.8717;64.3398;61.525
11025;64.1197;64.7946;61.8571
11576;64.4229;64.9947;62.0367
12154;66.0493;66.0783;62.4764
12760;64.8007;65.8769;62.1422
13396;64.6286;65.8921;62.7387
14063;64.9513;66.6146;62.3981
14763;65.5886;66.8047;63.3706
15498;66.3755;65.5515;62.7528
16269;65.9478;65.875;62.892
17078;66.6095;66.4235;63.4173
17927;66.584;66.8412;63.4535
18818;67.0423;66.8237;63.7446
19753;67.257;66.9774;64.0489
20734;65.9882;67.2928;63.9213
21764;65.8902;67.3587;64.0878
22845;66.7203;67.9541;64.3812
23980;67.0717;68.2159;64.952
25171;67.3614;68.5161;64.9115
26421;67.238;69.3004;65.5599
27733;66.9878;68.9909;65.1249
29110;67.4372;69.1853;65.5948
30555;68.7582;69.6217;65.8987
32072;68.9624;68.2427;65.7217
33664;69.356;68.5291;65.8569
35335;69.7384;68.9217;65.9243
37089;69.0227;69.0421;66.2392
38930;70.0696;69.3408;66.722
40863;70.4954;69.9363;67.0618
42892;68.5709;70.0147;67.181
45022;69.1135;70.2478;67.7315
47258;69.7515;70.8221;68.6834
49605;69.952;71.1347;68.4849
52069;70.4687;71.4579;69.235
54656;72.0257;72.4561;70.0467
57372;71.8798;72.2078;70.6878
60223;72.9576;73.2274;71.8045
63216;73.9596;72.4964;72.3278
66358;75.163;72.6732;73.4039
69657;76.0043;74.0669;74.5703
73120;77.3655;74.8736;75.3756
76756;78.104;75.6852;77.1394
80573;80.1008;77.2716;78.1663
84580;81.697;78.3111;79.544
88787;82.213;79.2973;81.9446
93204;83.8831;80.3192;83.4222
97841;86.2839;81.7561;87.9786
102709;89.7648;83.267;90.8586
107820;92.6489;85.7176;95.2463
113186;99.24;89.2955;101.593
118820;104.506;92.5807;107.243
124735;108.951;92.8532;114.74
130945;115.58;98.6354;121.094
137465;120.717;101.206;130.069
144311;126.616;107.951;135.956
151499;132.731;116.3;143.903
159046;138.296;121.892;150.228
166970;143.933;130.606;156.406
175290;149.062;138.194;163.119
184026;155.969;146.627;168.162
193198;159.106;153.184;174.29
202828;164.839;162.285;180.513
212939;168.283;169.445;184.083
223555;173.549;175.312;189.15
234701;178.139;183.805;194.202
246404;182.044;189.847;197.209
258692;189.55;195.176;201.107
271594;190.694;200.728;205.713
285141;194.419;206.046;208.772
299365;199.739;211.096;212.971
314300;202.575;216.586;215.973
329981;203.977;221.235;219.74
346446;207.713;227.696;223.121
363734;210.082;231.588;226.745
381886;213.429;235.737;230.399
400945;216.744;240.177;232.686
420956;219.044;245.471;235.987
441967;223.731;249.229;238.271
464028;227.535;253.056;244.08
487192;231.592;257.564;247.554
511514;234.702;254.152;248.17
537052;237.541;257.818;250.496
563866;241.498;261.584;254.445
592020;245.238;265.971;256.215
621581;249.433;269.302;260.279
652620;252.31;272.758;261.889
685210;247.653;276.995;265.961
719429;249.561;279.576;268.53
755358;252.525;283.222;271.85
793083;254.123;287.087;272.771
832694;258.037;291.249;276.219
874285;260.285;294.407;279.598
917955;263.084;297.465;282.371
963808;266.68;301.418;284.441
1011953;269.818;294.409;285.085
1062505;275.464;296.792;287.936
1115584;278.527;300.743;292.371
1171316;279.944;302.816;294.175
1229834;284.318;305.738;295.185
1291277;288.492;309.445;299.024
1355792;279.704;313.07;301.012
1423532;282.888;316.863;304.029
1494659;286.786;320.138;306.395
1569342;289.466;324.249;310
1647759;291.333;328.668;312.164
1730096;295.126;334.054;315.261
1816549;299.935;337.511;319.35
1907324;303.032;343.796;321.542
2002637;307.936;334.564;321.518
2102715;313.062;340.112;324.982
2207796;317.441;345.467;328.854
2318131;323.477;352.031;333.844
2433982;328.69;357.454;337.444
2555625;334.508;363.475;343.448
2683350;328.545;370.08;348.861
2817461;337.546;376.881;353.8
2958277;343.678;385.445;360.55
